date,Alexis Arguello,Antonio Cervantes,Davey Moore,Julio Cesar Chavez,Larry Holmes,Marvin Hagler,Michael Spinks,Muhammad Ali,Roberto Duran,Sugar Ray Leonard,Thomas Hearns
1977-09-29,2022.82127774,2076.44083252,2070.99799421,,1796.96148674,1895.9772235,1510.54943827,2314.85004434,2043.5554003,1449.35438933,
1977-10-15,2022.82127774,2076.44083252,2070.99799421,,1796.96148674,1896.57703028,1510.54943827,2314.85004434,2043.5554003,1449.35438933,
1977-10-22,2022.82127774,2076.44083252,2070.99799421,,1796.96148674,1896.57703028,1549.79309301,2314.85004434,2043.5554003,1449.35438933,
1977-11-05,2022.82127774,2080.74317222,2070.99799421,,1818.01158861,1896.57703028,1549.79309301,2314.85004434,2043.5554003,1497.65412481,
1977-11-26,2022.82127774,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2043.5554003,1497.65412481,
1977-12-07,2022.82127774,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2043.5554003,1497.65412481,1216.07013113
1977-12-16,2022.82127774,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2043.5554003,1497.65412481,1268.52519444
1977-12-17,2022.82127774,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2043.5554003,1540.51296109,1268.52519444
1977-12-18,2025.15213865,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2043.5554003,1540.51296109,1268.52519444
1978-01-21,2025.15213865,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2066.47253128,1540.51296109,1268.52519444
1978-01-28,2044.93183014,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2066.47253128,1540.51296109,1268.52519444
1978-01-29,2044.93183014,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2066.47253128,1540.51296109,1310.55168114
1978-02-04,2044.93183014,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2066.47253128,1578.70177691,1310.55168114
1978-02-10,2044.93183014,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1549.79309301,2314.85004434,2066.47253128,1578.70177691,1347.51810194
1978-02-15,2044.93183014,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1595.53100765,2265.44184319,2066.47253128,1578.70177691,1347.51810194
1978-02-17,2044.93183014,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1595.53100765,2265.44184319,2066.47253128,1578.70177691,1371.50766629
1978-03-01,2044.93183014,2080.74317222,2070.99799421,,1818.01158861,1927.55415711,1595.53100765,2265.44184319,2066.47253128,1600.72375886,1371.50766629
1978-03-04,2044.93183014,2080.74317222,2070.99799421,,1818.01158861,1951.38087986,1595.53100765,2265.44184319,2066.47253128,1600.72375886,1371.50766629
1978-03-10,2044.93183014,2081.45338235,2070.99799421,,1818.01158861,1951.38087986,1595.53100765,2265.44184319,2066.47253128,1600.72375886,1371.50766629
1978-03-17,2044.93183014,2081.45338235,2070.99799421,,1818.01158861,1951.38087986,1595.53100765,2265.44184319,2066.47253128,1600.72375886,1398.03323113
1978-03-19,2044.93183014,2081.45338235,2070.99799421,,1818.01158861,1951.38087986,1595.53100765,2265.44184319,2066.47253128,1624.39349458,1398.03323113
1978-03-25,2045.56940423,2081.45338235,2070.99799421,,1866.26881223,1951.38087986,1595.53100765,2265.44184319,2066.47253128,1624.39349458,1398.03323113
1978-03-31,2045.56940423,2081.45338235,2070.99799421,,1866.26881223,1951.38087986,1595.53100765,2265.44184319,2066.47253128,1624.39349458,1410.93594196
1978-04-07,2045.56940423,2081.45338235,2070.99799421,,1866.26881223,1962.48507404,1595.53100765,2265.44184319,2066.47253128,1624.39349458,1410.93594196
1978-04-13,2045.56940423,2081.45338235,2070.99799421,,1866.26881223,1962.48507404,1595.53100765,2265.44184319,2066.47253128,1654.55184624,1410.93594196
1978-04-27,2045.56940423,2081.45338235,2070.99799421,,1866.26881223,1962.48507404,1595.53100765,2265.44184319,2069.77699057,1654.55184624,1410.93594196
1978-04-28,2045.56940423,2083.13075783,2070.99799421,,1866.26881223,1962.48507404,1595.53100765,2265.44184319,2069.77699057,1654.55184624,1410.93594196
1978-04-29,2049.94710934,2083.13075783,2070.99799421,,1866.26881223,1962.48507404,1595.53100765,2265.44184319,2069.77699057,1654.55184624,1410.93594196
1978-05-13,2049.94710934,2083.13075783,2070.99799421,,1866.26881223,1981.17840895,1595.53100765,2265.44184319,2069.77699057,1669.82270528,1410.93594196
1978-06-03,2055.3733802,2083.13075783,2070.99799421,,1866.26881223,1981.17840895,1595.53100765,2265.44184319,2069.77699057,1692.93587618,1410.93594196
1978-06-08,2055.3733802,2083.13075783,2070.99799421,,1866.26881223,1981.17840895,1595.53100765,2265.44184319,2069.77699057,1692.93587618,1479.5263979
1978-06-09,2055.3733802,2083.13075783,2070.99799421,,1921.92894191,1981.17840895,1595.53100765,2265.44184319,2069.77699057,1692.93587618,1479.5263979
1978-07-18,2055.3733802,2083.13075783,2070.99799421,,1921.92894191,1981.17840895,1595.53100765,2265.44184319,2069.77699057,1711.84372705,1479.5263979
1978-07-20,2055.3733802,2083.13075783,2070.99799421,,1921.92894191,1981.17840895,1595.53100765,2265.44184319,2069.77699057,1711.84372705,1511.15347416
1978-07-26,2009.94500076,2083.13075783,2070.99799421,,1921.92894191,1981.17840895,1595.53100765,2265.44184319,2069.77699057,1711.84372705,1511.15347416
1978-08-03,2009.94500076,2083.13075783,2070.99799421,,1921.92894191,1981.17840895,1595.53100765,2265.44184319,2069.77699057,1711.84372705,1554.91156311
1978-08-24,2009.94500076,2083.13075783,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2265.44184319,2069.77699057,1711.84372705,1554.91156311
1978-08-26,2009.94500076,2100.68504688,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2265.44184319,2069.77699057,1711.84372705,1554.91156311
1978-09-01,2009.94500076,2100.68504688,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2265.44184319,2070.0408306,1711.84372705,1554.91156311
1978-09-07,2009.94500076,2100.68504688,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2265.44184319,2070.0408306,1711.84372705,1597.23198617
1978-09-09,2009.94500076,2100.68504688,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2265.44184319,2070.0408306,1741.58553479,1597.23198617
1978-09-15,2009.94500076,2100.68504688,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2266.63221286,2070.0408306,1741.58553479,1597.23198617
1978-10-06,2009.94500076,2100.68504688,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2266.63221286,2070.0408306,1776.63924775,1597.23198617
1978-10-26,2009.94500076,2100.68504688,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2266.63221286,2070.0408306,1776.63924775,1634.04140104
1978-11-03,2009.94500076,2100.68504688,2070.99799421,,1921.92894191,2010.93992712,1595.53100765,2266.63221286,2070.0408306,1792.76343256,1634.04140104
1978-11-10,2014.12479852,2100.68504688,2070.99799421,,1949.31140229,2010.93992712,1595.53100765,2266.63221286,2070.0408306,1792.76343256,1634.04140104
