date,Evander Holyfield,Felix Trinidad,Julio Cesar Chavez,Lennox Lewis,Mike Tyson,Oscar De La Hoya,Pernell Whitaker,Roy Jones Jr.,Sugar Ray Leonard,Thomas Hearns,Virgil Hill
1989-11-18,2023.03014358,,2100.87248396,1427.67495485,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1958.21768064
1989-11-30,2023.03014358,,2100.87248396,1427.67495485,2089.40737077,,1875.45622098,1415.6983551,2156.53145299,2109.90779683,1958.21768064
1989-12-07,2023.03014358,,2100.87248396,1427.67495485,2089.40737077,,1875.45622098,1415.6983551,2173.85103138,2109.90779683,1958.21768064
1989-12-11,2023.03014358,,2100.87248396,1427.67495485,2089.40737077,,1877.26509771,1415.6983551,2173.85103138,2109.90779683,1958.21768064
1989-12-16,2023.03014358,,2115.61842973,1427.67495485,2089.40737077,,1877.26509771,1415.6983551,2173.85103138,2109.90779683,1958.21768064
1989-12-18,2023.03014358,,2115.61842973,1483.53874028,2089.40737077,,1877.26509771,1415.6983551,2173.85103138,2109.90779683,1958.21768064
1990-01-08,2023.03014358,,2115.61842973,1483.53874028,2089.40737077,,1877.26509771,1431.53009494,2173.85103138,2109.90779683,1958.21768064
1990-01-31,2023.03014358,,2115.61842973,1541.28029395,2089.40737077,,1877.26509771,1431.53009494,2173.85103138,2109.90779683,1958.21768064
1990-02-03,2023.03014358,,2115.61842973,1541.28029395,2089.40737077,,1898.06137388,1431.53009494,2173.85103138,2109.90779683,1958.21768064
1990-02-11,2023.03014358,,2115.61842973,1541.28029395,2046.80977976,,1898.06137388,1431.53009494,2173.85103138,2109.90779683,1958.21768064
1990-02-25,2023.03014358,,2115.61842973,1541.28029395,2046.80977976,,1898.06137388,1431.53009494,2173.85103138,2109.90779683,1964.63081578
1990-02-28,2023.03014358,,2115.61842973,1541.28029395,2046.80977976,,1898.06137388,1446.48001617,2173.85103138,2109.90779683,1964.63081578
1990-03-17,2023.03014358,,2133.2126878,1541.28029395,2046.80977976,,1898.06137388,1446.48001617,2173.85103138,2109.90779683,1964.63081578
1990-03-22,2023.03014358,,2133.2126878,1567.64223505,2046.80977976,,1898.06137388,1446.48001617,2173.85103138,2109.90779683,1964.63081578
1990-03-28,2023.03014358,,2133.2126878,1567.64223505,2046.80977976,,1898.06137388,1480.07154067,2173.85103138,2109.90779683,1964.63081578
1990-04-07,2023.03014358,1242.85368826,2133.2126878,1567.64223505,2046.80977976,,1898.06137388,1480.07154067,2173.85103138,2109.90779683,1964.63081578
1990-04-14,2023.03014358,1242.85368826,2133.2126878,1599.80757139,2046.80977976,,1898.06137388,1480.07154067,2173.85103138,2109.90779683,1964.63081578
1990-04-28,2023.03014358,1242.85368826,2133.2126878,1599.80757139,2046.80977976,,1898.06137388,1480.07154067,2173.85103138,2115.50433124,1964.63081578
1990-05-09,2023.03014358,1242.85368826,2133.2126878,1629.31789359,2046.80977976,,1898.06137388,1480.07154067,2173.85103138,2115.50433124,1964.63081578
1990-05-11,2023.03014358,1242.85368826,2133.2126878,1629.31789359,2046.80977976,,1898.06137388,1516.56450846,2173.85103138,2115.50433124,1964.63081578
1990-05-19,2023.03014358,1242.85368826,2133.2126878,1629.31789359,2046.80977976,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1964.63081578
1990-05-20,2023.03014358,1242.85368826,2133.2126878,1653.24132291,2046.80977976,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1964.63081578
1990-06-01,2028.35312695,1242.85368826,2133.2126878,1653.24132291,2046.80977976,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1964.63081578
1990-06-16,2028.35312695,1242.85368826,2133.2126878,1653.24132291,2050.6095194,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1964.63081578
1990-06-21,2028.35312695,1291.55385482,2133.2126878,1653.24132291,2050.6095194,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1964.63081578
1990-06-27,2028.35312695,1291.55385482,2133.2126878,1687.90773479,2050.6095194,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1964.63081578
1990-07-05,2028.35312695,1291.55385482,2133.97649548,1687.90773479,2050.6095194,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1964.63081578
1990-07-07,2028.35312695,1291.55385482,2133.97649548,1687.90773479,2050.6095194,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1972.41819375
1990-07-11,2028.35312695,1291.55385482,2133.97649548,1693.90706763,2050.6095194,,1948.78270522,1516.56450846,2173.85103138,2115.50433124,1972.41819375
1990-07-14,2028.35312695,1291.55385482,2133.97649548,1693.90706763,2050.6095194,,1948.78270522,1524.65564366,2173.85103138,2115.50433124,1972.41819375
