date,Bernard Hopkins,Felix Trinidad,Floyd Mayweather Jr,Joe Calzaghe,Kostya Tszyu,Lennox Lewis,Manny Pacquiao,Oscar De La Hoya,Ricky Hatton,Roy Jones Jr.,Wladimir Klitschko
2000-03-03,1975.22328921,2129.87268448,1942.16107954,1947.06419933,2008.39557659,2116.42083831,1773.08882524,2165.2867768,1633.14841261,2119.0551756,1853.75017516
2000-03-04,1975.22328921,2129.87268448,1942.16107954,1947.06419933,2008.39557659,2116.42083831,1793.65129887,2165.2867768,1633.14841261,2119.0551756,1853.75017516
2000-03-18,1975.22328921,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2116.42083831,1793.65129887,2165.2867768,1633.14841261,2119.0551756,1871.09105508
2000-03-25,1975.22328921,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2116.42083831,1793.65129887,2165.2867768,1659.7982983,2119.0551756,1871.09105508
2000-04-29,1975.22328921,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2130.04835053,1793.65129887,2165.2867768,1659.7982983,2119.0551756,1889.03671126
2000-05-13,1991.07677726,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2130.04835053,1793.65129887,2165.2867768,1659.7982983,2121.97620841,1889.03671126
2000-05-16,1991.07677726,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2130.04835053,1793.65129887,2165.2867768,1676.24652116,2121.97620841,1889.03671126
2000-06-10,1991.07677726,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2130.04835053,1793.65129887,2165.2867768,1696.02224251,2121.97620841,1889.03671126
2000-06-17,1991.07677726,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2130.04835053,1793.65129887,2130.12402585,1696.02224251,2121.97620841,1889.03671126
2000-06-28,1991.07677726,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2130.04835053,1814.05695302,2130.12402585,1696.02224251,2121.97620841,1889.03671126
2000-07-15,1991.07677726,2129.87268448,1964.86381873,1947.06419933,2008.39557659,2136.32217484,1814.05695302,2130.12402585,1696.02224251,2121.97620841,1911.61265647
2000-07-22,1991.07677726,2138.55571153,1964.86381873,1947.06419933,2008.39557659,2136.32217484,1814.05695302,2130.12402585,1696.02224251,2121.97620841,1911.61265647
2000-07-29,1991.07677726,2138.55571153,1964.86381873,1947.06419933,2039.31193977,2136.32217484,1814.05695302,2130.12402585,1696.02224251,2121.97620841,1911.61265647
2000-08-12,1991.07677726,2138.55571153,1964.86381873,1963.86699247,2039.31193977,2136.32217484,1814.05695302,2130.12402585,1696.02224251,2121.97620841,1911.61265647
2000-09-09,1991.07677726,2138.55571153,1964.86381873,1963.86699247,2039.31193977,2136.32217484,1814.05695302,2130.12402585,1696.02224251,2127.55393937,1911.61265647
