date,Bruno Arcari,Carlos Monzon,Emile Griffith,Jose Napoles,Ken Buchanan,Luis Manuel Rodriguez,Muhammad Ali,Nicolino Locche,Nino Benvenuti,Vicente Saldivar,Victor Galindez
1966-08-10,1608.35429635,1685.20348274,2177.82738448,2109.26264866,1591.96322707,2129.08046249,2128.20054414,2002.43429503,2131.40692605,2052.46999615,
1966-08-19,1608.35429635,1685.20348274,2177.82738448,2109.26264866,1591.96322707,2129.08046249,2128.20054414,2002.91553811,2131.40692605,2052.46999615,
1966-08-22,1608.35429635,1685.20348274,2177.82738448,2067.83875087,1591.96322707,2129.08046249,2128.20054414,2002.91553811,2131.40692605,2052.46999615,
1966-09-03,1608.35429635,1752.84554752,2177.82738448,2067.83875087,1591.96322707,2129.08046249,2128.20054414,2002.91553811,2131.40692605,2052.46999615,
1966-09-06,1608.35429635,1752.84554752,2177.82738448,2067.83875087,1609.2572434,2129.08046249,2128.20054414,2002.91553811,2131.40692605,2052.46999615,
1966-09-09,1608.35429635,1752.84554752,2177.82738448,2067.83875087,1609.2572434,2133.58251011,2128.20054414,2002.91553811,2131.40692605,2052.46999615,
1966-09-10,1608.35429635,1752.84554752,2177.82738448,2067.83875087,1609.2572434,2133.58251011,2148.19457227,2015.11905745,2131.40692605,2052.46999615,
1966-09-23,1608.35429635,1752.84554752,2177.82738448,2067.83875087,1609.2572434,2133.58251011,2148.19457227,2015.11905745,2134.86921981,2052.46999615,
1966-09-24,1608.35429635,1752.84554752,2177.82738448,2067.83875087,1609.2572434,2134.96618615,2148.19457227,2015.11905745,2134.86921981,2052.46999615,
1966-10-01,1608.35429635,1755.14052642,2177.82738448,2067.83875087,1609.2572434,2134.96618615,2148.19457227,2015.11905745,2134.86921981,2052.46999615,
1966-10-04,1612.50294412,1755.14052642,2177.82738448,2067.83875087,1609.2572434,2134.96618615,2148.19457227,2015.11905745,2134.86921981,2052.46999615,
1966-10-07,1612.50294412,1755.14052642,2177.82738448,2067.83875087,1609.2572434,2134.96618615,2148.19457227,2020.56314137,2134.86921981,2052.46999615,
1966-10-17,1612.50294412,1755.14052642,2177.82738448,2067.83875087,1634.42683354,2134.96618615,2148.19457227,2020.56314137,2134.86921981,2052.46999615,
1966-10-21,1634.72297897,1755.14052642,2177.82738448,2067.83875087,1634.42683354,2134.96618615,2148.19457227,2020.56314137,2140.45513276,2052.46999615,
1966-10-30,1634.72297897,1755.14052642,2177.82738448,2068.45461838,1634.42683354,2134.96618615,2148.19457227,2020.56314137,2140.45513276,2052.46999615,
1966-11-14,1634.72297897,1755.14052642,2177.82738448,2068.45461838,1634.42683354,2134.96618615,2161.79873312,2020.56314137,2140.45513276,2052.46999615,
1966-11-18,1634.72297897,1757.7271247,2177.82738448,2068.45461838,1634.42683354,2134.96618615,2161.79873312,2020.56314137,2140.45513276,2052.46999615,
1966-11-29,1634.72297897,1757.7271247,2177.82738448,2068.45461838,1660.17666025,2134.96618615,2161.79873312,2020.56314137,2140.45513276,2052.46999615,
1966-12-02,1634.72297897,1766.23977197,2177.82738448,2068.45461838,1660.17666025,2134.96618615,2161.79873312,2020.56314137,2146.25849915,2052.46999615,
1966-12-07,1676.16951342,1766.23977197,2177.82738448,2068.45461838,1660.17666025,2134.96618615,2161.79873312,2020.56314137,2146.25849915,2052.46999615,
1966-12-17,1676.16951342,1766.23977197,2177.82738448,2073.76888451,1660.17666025,2134.96618615,2161.79873312,2020.56314137,2146.25849915,2052.46999615,
1966-12-19,1676.16951342,1766.23977197,2177.82738448,2073.76888451,1681.26672755,2134.96618615,2161.79873312,2020.56314137,2146.25849915,2052.46999615,
1966-12-23,1676.16951342,1767.75470228,2177.82738448,2073.76888451,1681.26672755,2134.96618615,2161.79873312,2020.56314137,2149.68804966,2052.46999615,
1966-12-30,1676.16951342,1767.75470228,2177.82738448,2073.76888451,1681.26672755,2134.96618615,2161.79873312,2021.0420691,2149.68804966,2052.46999615,
1967-01-13,1676.16951342,1779.35700148,2177.82738448,2073.76888451,1681.26672755,2134.96618615,2161.79873312,2023.35669646,2149.68804966,2052.46999615,
1967-01-19,1676.16951342,1779.35700148,2177.82738448,2073.76888451,1681.26672755,2134.96618615,2161.79873312,2023.35669646,2150.69312912,2052.46999615,
1967-01-20,1676.16951342,1779.35700148,2177.82738448,2073.76888451,1681.26672755,2137.07978212,2161.79873312,2023.35669646,2150.69312912,2052.46999615,
1967-01-23,1676.16951342,1779.35700148,2190.66220498,2073.76888451,1684.36676803,2137.07978212,2161.79873312,2023.35669646,2150.69312912,2052.46999615,
1967-01-27,1676.16951342,1781.32640454,2190.66220498,2073.76888451,1684.36676803,2137.07978212,2161.79873312,2023.35669646,2150.69312912,2052.46999615,
1967-01-29,1676.16951342,1781.32640454,2190.66220498,2073.76888451,1684.36676803,2137.07978212,2161.79873312,2023.35669646,2150.69312912,2062.90605868,
1967-02-06,1676.16951342,1781.32640454,2190.66220498,2073.76888451,1684.36676803,2137.07978212,2179.77553531,2023.35669646,2150.69312912,2062.90605868,
1967-02-14,1676.16951342,1781.32640454,2190.66220498,2073.76888451,1707.22140591,2137.07978212,2179.77553531,2023.35669646,2150.69312912,2062.90605868,
1967-02-15,1676.16951342,1787.74852572,2190.66220498,2073.76888451,1707.22140591,2137.07978212,2179.77553531,2023.35669646,2150.69312912,2062.90605868,
1967-02-18,1676.16951342,1787.74852572,2190.66220498,2073.76888451,1707.22140591,2139.65740553,2179.77553531,2023.35669646,2150.69312912,2062.90605868,
1967-02-22,1696.39928157,1787.74852572,2190.66220498,2073.76888451,1707.22140591,2139.65740553,2179.77553531,2023.35669646,2150.69312912,2062.90605868,
1967-03-03,1696.39928157,1787.74852572,2190.66220498,2073.76888451,1707.22140591,2139.65740553,2179.77553531,2023.35669646,2153.41755466,2062.90605868,
1967-03-09,1696.39928157,1801.32066951,2190.66220498,2073.76888451,1707.22140591,2139.65740553,2179.77553531,2023.35669646,2153.41755466,2062.90605868,
1967-03-20,1696.39928157,1801.32066951,2190.66220498,2073.76888451,1707.22140591,2143.09795026,2179.77553531,2023.35669646,2153.41755466,2062.90605868,
1967-03-22,1696.39928157,1801.32066951,2190.66220498,2073.76888451,1707.22140591,2143.09795026,2196.96264421,2023.35669646,2153.41755466,2062.90605868,
1967-03-25,1696.39928157,1802.90561325,2190.66220498,2073.76888451,1707.22140591,2143.09795026,2196.96264421,2023.35669646,2153.41755466,2062.90605868,
1967-04-07,1696.39928157,1802.90561325,2190.66220498,2073.76888451,1707.22140591,2143.09795026,2196.96264421,2026.45486542,2153.41755466,2062.90605868,
1967-04-09,1696.39928157,1804.26935605,2190.66220498,2073.76888451,1707.22140591,2143.09795026,2196.96264421,2026.45486542,2153.41755466,2062.90605868,
1967-04-17,1696.39928157,1804.26935605,2162.99245566,2073.76888451,1707.22140591,2143.09795026,2196.96264421,2026.45486542,2181.08730397,2062.90605868,
1967-04-21,1696.39928157,1804.26935605,2162.99245566,2073.76888451,1707.22140591,2143.09795026,2196.96264421,2028.17074275,2181.08730397,2062.90605868,
1967-04-28,1740.40791636,1804.26935605,2162.99245566,2073.76888451,1707.22140591,2143.09795026,2196.96264421,2028.17074275,2181.08730397,2062.90605868,
1967-05-06,1740.40791636,1791.58615488,2162.99245566,2073.76888451,1707.22140591,2143.09795026,2196.96264421,2028.17074275,2181.08730397,2062.90605868,
1967-05-11,1740.40791636,1791.58615488,2162.99245566,2073.76888451,1748.11561793,2143.09795026,2196.96264421,2028.17074275,2181.08730397,2062.90605868,
1967-05-13,1740.40791636,1791.58615488,2162.99245566,2073.76888451,1748.11561793,2143.09795026,2196.96264421,2036.14578903,2181.08730397,2062.90605868,
1967-06-02,1740.40791636,1791.58615488,2162.99245566,2073.76888451,1748.11561793,2143.09795026,2196.96264421,2037.18705848,2181.08730397,2062.90605868,
1967-06-03,1758.59282789,1791.58615488,2162.99245566,2073.76888451,1748.11561793,2143.09795026,2196.96264421,2037.18705848,2181.08730397,2062.90605868,
1967-06-04,1758.59282789,1791.58615488,2162.99245566,2077.2045682,1748.11561793,2147.69074119,2196.96264421,2037.18705848,2181.08730397,2062.90605868,
1967-06-10,1758.59282789,1850.09271027,2162.99245566,2077.2045682,1748.11561793,2147.69074119,2196.96264421,2037.18705848,2181.08730397,2062.90605868,
1967-06-15,1758.59282789,1850.09271027,2162.99245566,2077.2045682,1748.11561793,2147.69074119,2196.96264421,2037.18705848,2181.08730397,2087.02085027,
1967-06-28,1758.59282789,1850.09271027,2162.99245566,2077.2045682,1758.35331543,2153.11181405,2196.96264421,2037.18705848,2181.08730397,2087.02085027,
1967-07-05,1770.31631096,1850.09271027,2162.99245566,2077.2045682,1758.35331543,2153.11181405,2196.96264421,2037.18705848,2181.08730397,2087.02085027,
1967-07-10,1770.31631096,1850.09271027,2162.99245566,2083.09644384,1758.35331543,2153.11181405,2196.96264421,2037.89428511,2181.08730397,2087.02085027,
1967-07-19,1770.31631096,1850.09271027,2162.99245566,2083.09644384,1758.35331543,2153.11181405,2196.96264421,2038.34241005,2181.08730397,2087.02085027,
1967-07-26,1770.31631096,1850.09271027,2162.99245566,2083.09644384,1792.83274393,2153.11181405,2196.96264421,2038.34241005,2181.08730397,2087.02085027,
1967-07-29,1770.31631096,1879.46008505,2162.99245566,2083.09644384,1792.83274393,2153.11181405,2196.96264421,2038.34241005,2181.08730397,2087.02085027,
1967-08-04,1770.31631096,1879.46008505,2162.99245566,2083.09644384,1792.83274393,2153.11181405,2196.96264421,2039.70495873,2181.08730397,2087.02085027,
1967-08-16,1770.31631096,1895.90870689,2162.99245566,2083.09644384,1792.83274393,2153.11181405,2196.96264421,2039.70495873,2181.08730397,2087.02085027,
1967-08-19,1770.31631096,1895.90870689,2162.99245566,2083.09644384,1792.83274393,2153.11181405,2196.96264421,2067.93621075,2181.08730397,2087.02085027,
1967-09-06,1795.06382218,1895.90870689,2162.99245566,2083.09644384,1792.83274393,2153.11181405,2196.96264421,2067.93621075,2181.08730397,2087.02085027,
1967-09-07,1795.06382218,1895.90870689,2162.99245566,2083.09644384,1792.83274393,2161.06860347,2196.96264421,2067.93621075,2181.08730397,2087.02085027,
1967-09-08,1795.06382218,1899.98098404,2162.99245566,2083.09644384,1792.83274393,2161.06860347,2196.96264421,2067.93621075,2181.08730397,2087.02085027,
