date,Alexander Povetkin,Bernard Hopkins,Floyd Mayweather Jr,Gennady Golovkin,Juan Manuel Marquez,Manny Pacquiao,Miguel Cotto,Saul Alvarez,Sergio Gabriel Martinez,Vitali Klitschko,Wladimir Klitschko
2008-06-06,1875.05077251,2090.47905669,2206.23917901,1635.96630355,2045.90963213,2141.12718626,2088.05090156,1630.64383724,1968.03846048,2042.96233247,2093.57633138
2008-06-07,1875.05077251,2090.47905669,2206.23917901,1635.96630355,2045.90963213,2141.12718626,2088.05090156,1630.64383724,1972.46858341,2042.96233247,2093.57633138
2008-06-21,1875.05077251,2090.47905669,2206.23917901,1644.91478743,2045.90963213,2141.12718626,2088.05090156,1630.64383724,1972.46858341,2042.96233247,2093.57633138
2008-06-28,1875.05077251,2090.47905669,2206.23917901,1644.91478743,2045.90963213,2149.123338,2088.05090156,1668.26772609,1972.46858341,2042.96233247,2093.57633138
2008-07-12,1875.05077251,2090.47905669,2206.23917901,1644.91478743,2045.90963213,2149.123338,2088.05090156,1668.26772609,1972.46858341,2042.96233247,2105.67772471
2008-07-19,1893.82689686,2090.47905669,2206.23917901,1644.91478743,2045.90963213,2149.123338,2088.05090156,1668.26772609,1972.46858341,2042.96233247,2105.67772471
2008-07-26,1893.82689686,2090.47905669,2206.23917901,1644.91478743,2045.90963213,2149.123338,2055.88753357,1668.26772609,1972.46858341,2042.96233247,2105.67772471
2008-08-02,1893.82689686,2090.47905669,2206.23917901,1644.91478743,2045.90963213,2149.123338,2055.88753357,1694.97096914,1972.46858341,2042.96233247,2105.67772471
2008-09-13,1893.82689686,2090.47905669,2206.23917901,1644.91478743,2066.75238924,2149.123338,2055.88753357,1694.97096914,1972.46858341,2042.96233247,2105.67772471
2008-10-04,1893.82689686,2090.47905669,2206.23917901,1644.91478743,2066.75238924,2149.123338,2055.88753357,1694.97096914,1990.55380432,2042.96233247,2105.67772471
2008-10-11,1893.82689686,2090.47905669,2206.23917901,1644.91478743,2066.75238924,2149.123338,2055.88753357,1694.97096914,1990.55380432,2066.54880945,2105.67772471
2008-10-18,1893.82689686,2109.4809975,2206.23917901,1644.91478743,2066.75238924,2149.123338,2055.88753357,1694.97096914,1990.55380432,2066.54880945,2105.67772471
2008-10-24,1893.82689686,2109.4809975,2206.23917901,1644.91478743,2066.75238924,2149.123338,2055.88753357,1719.57958964,1990.55380432,2066.54880945,2105.67772471
2008-11-22,1893.82689686,2109.4809975,2206.23917901,1680.68686761,2066.75238924,2149.123338,2055.88753357,1719.57958964,1990.55380432,2066.54880945,2105.67772471
2008-12-05,1893.82689686,2109.4809975,2206.23917901,1680.68686761,2066.75238924,2149.123338,2055.88753357,1739.48026148,1990.55380432,2066.54880945,2105.67772471
2008-12-06,1893.82689686,2109.4809975,2206.23917901,1680.68686761,2066.75238924,2171.37062702,2055.88753357,1739.48026148,1990.55380432,2066.54880945,2105.67772471
2008-12-13,1893.82689686,2109.4809975,2206.23917901,1680.68686761,2066.75238924,2171.37062702,2055.88753357,1739.48026148,1990.55380432,2066.54880945,2120.08601874
2009-01-17,1893.82689686,2109.4809975,2206.23917901,1728.05364406,2066.75238924,2171.37062702,2055.88753357,1764.45688855,1990.55380432,2066.54880945,2120.08601874
2009-02-14,1893.82689686,2109.4809975,2206.23917901,1728.05364406,2066.75238924,2171.37062702,2055.88753357,1764.45688855,1978.45545377,2066.54880945,2120.08601874
2009-02-21,1893.82689686,2109.4809975,2206.23917901,1728.05364406,2066.75238924,2171.37062702,2062.57441675,1788.90978285,1978.45545377,2066.54880945,2120.08601874
2009-02-28,1893.82689686,2109.4809975,2206.23917901,1728.05364406,2083.95411175,2171.37062702,2062.57441675,1788.90978285,1978.45545377,2066.54880945,2120.08601874
2009-03-21,1893.82689686,2109.4809975,2206.23917901,1728.05364406,2083.95411175,2171.37062702,2062.57441675,1788.90978285,1978.45545377,2089.45860708,2120.08601874
2009-04-04,1917.69629529,2109.4809975,2206.23917901,1728.05364406,2083.95411175,2171.37062702,2062.57441675,1788.90978285,1978.45545377,2089.45860708,2120.08601874
2009-04-11,1917.69629529,2109.4809975,2206.23917901,1728.05364406,2083.95411175,2171.37062702,2062.57441675,1814.70714358,1978.45545377,2089.45860708,2120.08601874
2009-04-25,1917.69629529,2109.4809975,2206.23917901,1744.30519629,2083.95411175,2171.37062702,2062.57441675,1814.70714358,1978.45545377,2089.45860708,2120.08601874
2009-05-02,1917.69629529,2109.4809975,2206.23917901,1744.30519629,2083.95411175,2193.15086956,2062.57441675,1814.70714358,1978.45545377,2089.45860708,2120.08601874
